accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.03,0.99,0.34,-3.4,-0.54,-1.99
0.03,1.0,0.34,-3.59,-0.93,-2.05
0.03,0.99,0.34,-3.39,-0.53,-2.27
0.04,0.99,0.34,-3.27,-0.34,-2.19
0.02,0.98,0.35,-3.23,-0.21,-2.26
0.03,0.99,0.34,-2.93,0.0,-2.31
0.04,0.99,0.35,-2.48,0.21,-2.64
0.03,0.99,0.34,-2.06,0.49,-2.22
0.03,0.99,0.34,-1.89,0.67,-2.37
0.03,1.0,0.35,-1.7,0.89,-2.21
0.03,1.0,0.34,-1.49,0.88,-2.34
0.03,1.0,0.35,-1.83,0.95,-2.25
0.03,1.0,0.35,-1.93,0.97,-2.15
0.03,1.0,0.35,-2.07,0.89,-2.07
0.03,1.0,0.34,-2.66,0.92,-1.98
0.03,1.0,0.34,-2.42,0.91,-1.8
0.03,1.0,0.33,-2.58,1.18,-1.69
0.03,1.0,0.34,-2.15,1.36,-1.73
0.03,0.99,0.34,-2.04,1.16,-1.76
0.04,0.99,0.33,-1.73,1.53,-1.7
0.03,0.99,0.33,-1.38,1.63,-1.98
0.03,0.99,0.34,-1.09,1.76,-1.95
0.03,0.99,0.34,-0.94,1.89,-2.21
0.03,0.99,0.34,-0.76,1.79,-2.26
0.03,0.99,0.34,-0.78,1.76,-2.66
0.03,0.99,0.34,-0.56,1.88,-2.63
0.03,0.99,0.34,-0.51,1.76,-2.69
0.03,1.0,0.33,-0.33,1.98,-2.56
0.03,1.0,0.34,-0.42,2.1,-2.56
0.03,1.0,0.34,-0.33,1.91,-2.25
0.02,1.0,0.34,-0.31,1.75,-1.95
0.03,1.0,0.34,-0.31,1.96,-2.07
0.03,1.0,0.34,-0.33,2.14,-2.15
0.03,1.0,0.34,-0.39,2.06,-1.95
0.03,1.0,0.34,-0.14,2.29,-1.76
0.02,1.01,0.33,-0.17,2.24,-1.71
0.03,1.0,0.33,-0.42,2.56,-1.41
0.03,1.0,0.33,-0.39,2.98,-1.65
0.03,1.01,0.33,-0.6,2.97,-1.33
0.03,0.99,0.33,-0.47,3.24,-1.31
0.03,1.0,0.32,-0.63,3.63,-1.02
0.03,1.0,0.33,-0.59,3.77,-0.98
0.02,1.0,0.31,-0.28,3.86,-1.15
0.02,1.0,0.33,-0.14,4.01,-0.9
0.03,0.99,0.33,-0.21,3.89,-1.05
0.03,1.0,0.33,-0.09,3.76,-1.05
0.03,0.99,0.33,-0.06,3.52,-1.11
0.03,0.99,0.33,-0.12,3.71,-1.32
0.03,0.99,0.33,-0.4,3.29,-1.21
0.03,0.99,0.34,-0.16,3.08,-1.41
0.02,0.98,0.34,-0.51,2.89,-1.4
0.03,0.99,0.33,-0.52,2.37,-1.59
0.03,0.99,0.33,-0.38,2.3,-1.54
0.03,0.99,0.34,-0.4,2.38,-1.73
0.03,0.99,0.34,-0.64,2.31,-1.26
0.04,1.0,0.34,-0.91,2.47,-1.14
0.03,1.01,0.33,-1.09,2.7,-1.09
0.03,1.01,0.33,-1.56,2.68,-0.86
0.03,1.01,0.33,-1.54,3.07,-0.47
0.03,1.0,0.33,-1.97,3.34,-0.44
0.04,1.01,0.33,-2.71,4.08,0.22
0.04,1.03,0.32,-3.63,4.94,0.73
0.05,1.03,0.32,-4.62,6.31,0.99
0.04,1.03,0.33,-5.85,7.32,1.4
0.04,1.03,0.32,-6.21,7.81,2.26
0.04,1.03,0.31,-6.7,8.38,3.4
0.04,1.02,0.32,-6.76,8.92,4.23
0.03,1.02,0.32,-6.98,9.86,4.76
0.04,1.02,0.32,-7.56,11.21,5.36
0.03,1.01,0.34,-7.95,12.48,5.53
0.03,1.01,0.33,-8.18,13.49,5.54
0.03,0.99,0.32,-7.9,13.4,5.06
0.02,0.99,0.33,-7.01,13.88,4.72
0.03,0.98,0.32,-6.15,14.42,4.79
0.02,0.98,0.32,-5.79,14.83,4.66
0.02,0.99,0.33,-5.6,15.88,4.6
0.03,0.99,0.32,-5.82,16.53,4.59
0.04,1.0,0.32,-5.79,18.21,5.14
0.04,1.0,0.31,-6.0,20.31,5.55
0.04,1.01,0.32,-5.24,22.19,4.69
0.03,0.98,0.24,-2.71,24.37,4.39
0.03,0.99,0.31,-2.13,24.96,5.18
0.03,1.01,0.31,-3.09,28.88,6.53
0.09,1.05,0.29,-4.4,32.2,8.24
0.1,1.08,0.27,-6.56,36.59,10.14
0.08,1.06,0.19,-7.19,44.76,11.28
0.11,1.08,0.18,-8.25,52.27,13.47
0.09,1.08,0.21,-9.96,58.79,15.83
0.12,1.09,0.16,-10.81,68.08,18.27
0.16,1.1,0.12,-11.01,79.98,23.85
0.2,1.09,0.08,-10.69,92.98,28.11
0.17,1.08,0.02,-10.06,107.05,28.08
0.16,1.09,0.04,-11.52,119.89,28.61
0.18,1.08,0.01,-12.79,138.24,30.3
0.24,1.08,0.02,-13.13,152.26,33.18
0.23,1.04,0.01,-12.42,170.31,34.85
0.19,0.99,-0.02,-10.05,186.85,35.08
0.16,0.95,-0.01,-6.14,202.24,34.4
0.17,0.93,-0.02,-0.94,217.31,34.02
0.18,0.91,0.03,5.27,231.7,33.02
0.17,0.88,0.02,12.35,245.66,31.41
0.17,0.86,0.0,20.6,250.13,29.19
0.15,0.84,-0.01,28.33,250.13,26.82
0.15,0.88,0.1,32.47,250.13,27.33
0.16,0.92,0.08,38.02,250.13,27.55
0.16,0.93,0.1,43.54,250.13,26.44
0.16,0.95,0.11,48.18,250.13,26.6
0.16,0.98,0.14,51.27,250.13,28.24
0.16,1.01,0.13,53.92,250.13,29.89
0.16,1.03,0.15,55.43,250.13,31.89
0.15,1.06,0.18,55.56,250.13,35.26
0.09,1.05,0.32,52.38,250.13,38.63
0.18,1.11,0.26,49.4,250.13,44.34
0.13,1.1,0.28,45.84,250.13,48.31
0.1,1.09,0.34,41.56,250.13,52.32
0.09,1.09,0.36,36.88,250.13,57.58
0.11,1.1,0.41,32.16,250.13,64.23
0.11,1.09,0.42,27.93,250.13,70.24
0.09,1.06,0.43,24.66,250.13,74.83
0.08,1.01,0.45,21.44,250.13,79.35
0.05,0.95,0.5,19.15,250.13,83.16
0.05,0.92,0.55,18.29,250.13,87.63
0.05,0.86,0.6,19.34,250.13,91.66
0.04,0.81,0.65,21.68,250.13,93.24
0.05,0.78,0.7,25.49,250.13,94.35
0.06,0.73,0.74,30.73,250.13,94.09
0.08,0.69,0.78,37.92,250.13,93.26
0.11,0.68,0.82,46.04,250.13,89.95
0.11,0.65,0.83,56.22,250.13,88.05
0.12,0.62,0.85,67.25,250.13,84.6
0.11,0.59,0.85,78.91,250.13,80.78
0.1,0.57,0.89,90.69,250.13,75.62
0.08,0.57,0.91,101.23,250.13,68.83
0.08,0.59,0.91,109.42,242.6,61.84
0.09,0.61,0.91,114.85,228.34,53.93
0.07,0.63,0.91,116.2,211.62,45.85
0.07,0.64,0.92,114.82,195.13,37.56
0.04,0.63,0.88,111.27,178.72,28.12
0.04,0.62,0.84,105.41,163.3,19.25
0.04,0.64,0.84,97.51,146.69,10.41
0.05,0.67,0.84,88.21,129.89,1.79
0.07,0.72,0.82,77.64,112.59,-6.27
0.08,0.76,0.81,66.89,95.81,-13.22
0.09,0.79,0.78,57.13,80.63,-18.13
0.08,0.8,0.75,49.37,67.13,-21.85
0.08,0.81,0.7,43.59,54.57,-24.52
0.09,0.85,0.65,39.87,43.89,-25.82
0.09,0.88,0.6,36.53,34.46,-25.16
0.1,0.91,0.57,34.21,26.94,-23.83
0.13,0.91,0.51,33.21,21.27,-21.44
0.15,0.89,0.42,34.56,19.08,-19.55
0.17,0.87,0.32,38.3,19.48,-17.38
