accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.04,1.0,0.29,-1.77,0.31,-0.41
0.03,1.0,0.3,-1.92,0.12,-0.46
0.03,1.0,0.3,-2.12,-0.44,-0.18
0.03,1.0,0.31,-2.69,-0.89,-0.38
0.02,1.0,0.31,-3.39,-1.5,-0.27
0.03,1.0,0.32,-3.82,-1.89,-0.63
0.03,1.0,0.31,-3.88,-2.09,-0.6
0.04,0.99,0.3,-4.32,-2.31,-0.52
0.04,0.99,0.29,-4.08,-2.11,-0.29
0.04,0.99,0.28,-3.59,-1.83,-0.4
0.05,0.98,0.28,-2.92,-1.44,-0.47
0.04,0.98,0.28,-2.11,-1.02,-0.64
0.03,0.99,0.28,-1.5,-0.78,-1.11
0.04,0.98,0.28,-0.81,-0.38,-1.5
0.04,0.98,0.28,-0.38,0.11,-1.73
0.04,0.99,0.29,-0.06,0.34,-1.85
0.04,0.99,0.29,0.2,0.64,-2.11
0.04,0.99,0.29,0.47,0.75,-2.17
0.03,0.99,0.29,0.41,0.55,-2.09
0.03,1.0,0.3,0.34,0.5,-2.02
0.03,1.0,0.3,-0.14,0.26,-1.97
0.03,1.0,0.31,-0.56,-0.18,-1.73
0.03,1.0,0.31,-1.22,-0.9,-1.71
0.03,1.01,0.31,-1.71,-1.48,-1.56
0.03,1.0,0.31,-2.29,-1.89,-1.39
0.03,1.0,0.31,-2.85,-2.56,-1.27
0.03,1.0,0.3,-3.18,-2.5,-1.33
0.03,1.0,0.3,-3.5,-2.49,-1.27
0.03,1.0,0.3,-3.13,-2.55,-1.15
0.04,1.0,0.28,-2.98,-1.91,-1.15
0.04,0.99,0.29,-2.29,-1.66,-1.19
0.03,0.99,0.28,-1.71,-1.22,-1.04
0.03,0.99,0.29,-1.15,-0.84,-1.19
0.03,0.99,0.29,-0.92,-0.52,-1.02
0.04,1.0,0.28,-0.85,-0.23,-0.87
0.03,1.0,0.29,-0.5,-0.38,-0.67
0.03,1.0,0.3,-0.56,-0.24,-0.79
0.03,1.0,0.3,-0.64,-0.64,-0.92
0.02,0.99,0.31,-0.85,-0.96,-0.93
0.02,0.99,0.3,-1.13,-1.36,-1.05
0.03,0.99,0.3,-1.3,-1.83,-1.04
0.03,0.99,0.3,-1.65,-1.74,-1.01
0.02,0.99,0.28,-1.33,-1.83,-1.34
0.03,0.99,0.29,-1.34,-2.02,-1.08
0.03,1.0,0.27,-0.9,-1.6,-1.07
0.03,0.99,0.28,-0.79,-1.5,-1.22
0.03,0.99,0.28,-0.47,-0.99,-1.5
0.03,0.99,0.28,-0.27,-0.66,-1.3
0.02,1.0,0.28,0.02,-0.58,-1.51
0.03,1.0,0.28,0.11,-0.37,-1.5
0.03,1.0,0.28,0.0,0.0,-1.3
0.02,1.01,0.28,0.11,0.37,-1.19
0.02,1.0,0.29,0.29,0.64,-1.07
0.02,1.01,0.28,0.27,0.78,-1.11
0.02,1.01,0.29,0.66,0.93,-1.04
0.02,1.01,0.3,0.5,0.92,-0.78
0.02,1.02,0.29,0.35,0.6,-0.63
0.02,1.02,0.3,-0.4,0.49,-0.46
0.02,1.02,0.3,-0.56,0.02,0.14
0.02,1.01,0.31,-0.98,-0.38,0.46
0.02,1.02,0.3,-1.54,-0.5,0.63
0.02,1.01,0.3,-1.8,-0.79,1.04
0.02,1.01,0.3,-2.24,-1.01,0.98
0.02,1.01,0.29,-2.18,-1.24,0.96
0.03,1.0,0.29,-2.15,-1.42,1.05
0.03,1.0,0.29,-2.02,-1.05,1.27
0.03,1.0,0.29,-1.53,-0.66,1.33
0.04,1.0,0.29,-1.18,-0.56,1.3
0.04,1.0,0.28,-0.76,-0.11,1.39
0.04,0.99,0.29,-0.35,0.34,1.25
