accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.07,0.98,0.3,-0.63,-2.12,-1.74
0.07,0.99,0.3,-0.33,-2.34,-1.8
0.07,0.99,0.3,-0.26,-2.34,-1.5
0.08,0.99,0.29,0.3,-2.33,-1.51
0.07,0.99,0.29,0.24,-2.53,-1.47
0.08,0.99,0.3,0.37,-2.11,-1.23
0.08,0.99,0.29,0.25,-1.81,-1.43
0.08,0.99,0.29,-0.13,-1.6,-1.52
0.09,0.99,0.29,-0.34,-1.32,-1.56
0.08,0.98,0.3,-0.37,-1.11,-1.69
0.08,0.98,0.3,-0.27,-0.78,-1.58
0.08,0.99,0.29,-0.55,-0.85,-1.76
0.08,0.99,0.29,-0.66,-0.47,-1.69
0.08,0.99,0.29,-0.33,-0.18,-1.8
0.08,0.99,0.28,-0.17,-0.01,-1.85
0.07,0.99,0.29,0.15,0.51,-1.82
0.07,0.98,0.28,0.33,0.66,-1.91
0.08,0.98,0.3,0.38,0.76,-2.13
0.07,0.98,0.29,0.29,1.05,-2.24
0.08,0.99,0.3,0.15,1.08,-2.13
0.08,0.99,0.3,-0.11,1.47,-2.06
0.07,1.0,0.31,-0.78,0.99,-1.98
0.07,1.0,0.3,-1.12,1.22,-1.53
0.07,1.0,0.31,-1.69,0.66,-1.25
0.07,1.0,0.31,-2.34,0.23,-0.98
0.06,0.99,0.31,-2.54,-0.27,-0.94
0.06,1.0,0.32,-3.19,-0.41,-0.93
0.06,0.99,0.31,-3.34,-0.82,-0.78
0.07,1.0,0.31,-3.76,-0.79,-0.56
0.08,0.99,0.3,-3.89,-0.68,-0.54
0.07,1.0,0.3,-3.85,-0.53,-0.27
0.08,0.99,0.29,-3.64,-0.08,-0.4
0.08,0.98,0.3,-3.75,0.08,-0.26
0.07,0.98,0.3,-3.61,0.5,-0.76
0.08,0.98,0.29,-3.24,0.78,-0.76
0.08,0.98,0.29,-2.85,1.05,-0.95
0.08,0.98,0.29,-2.29,0.99,-1.17
0.08,0.98,0.3,-1.89,1.17,-1.17
0.08,0.98,0.3,-1.75,1.05,-1.27
0.08,0.98,0.3,-1.09,0.73,-1.43
0.07,0.99,0.3,-0.89,0.83,-1.65
0.08,0.99,0.31,-0.89,0.53,-1.96
0.07,0.98,0.31,-0.47,0.28,-2.04
0.08,0.98,0.31,-0.73,0.13,-2.02
0.07,0.98,0.32,-0.7,-0.49,-2.22
0.07,0.99,0.31,-0.84,-0.62,-2.25
0.07,0.99,0.31,-1.21,-1.05,-2.11
0.07,0.99,0.31,-1.32,-1.54,-1.73
0.08,0.99,0.31,-1.39,-1.36,-1.35
0.08,0.99,0.31,-1.5,-1.27,-1.21
0.09,0.98,0.3,-1.59,-1.02,-1.08
0.08,0.98,0.29,-1.53,-0.88,-1.44
0.08,0.98,0.29,-1.58,-0.8,-1.49
0.09,0.98,0.29,-1.74,-0.28,-1.88
0.08,0.98,0.29,-1.57,-0.4,-2.09
0.08,0.98,0.29,-1.5,0.14,-2.03
0.08,0.99,0.3,-1.56,0.44,-2.0
0.08,0.99,0.3,-1.6,0.4,-1.38
0.07,1.0,0.31,-1.76,0.37,-0.68
0.06,0.99,0.3,-1.86,0.17,-0.39
0.07,0.99,0.31,-2.11,-0.14,-0.4
0.07,0.99,0.32,-2.56,-0.16,-0.36
0.06,0.99,0.32,-3.37,-0.41,-0.9
0.06,0.98,0.31,-3.35,-0.76,-1.24
0.07,0.97,0.31,-3.32,-1.15,-1.85
0.06,0.97,0.31,-3.31,-1.48,-2.19
0.07,0.97,0.31,-2.68,-1.5,-2.87
0.07,0.97,0.3,-2.66,-1.56,-3.2
0.08,0.98,0.3,-2.24,-1.69,-3.56
0.07,0.98,0.3,-1.32,-1.62,-3.5
0.08,0.98,0.29,-0.72,-1.58,-3.7
0.07,0.98,0.29,-0.4,-1.94,-3.8
0.07,0.99,0.3,0.06,-1.47,-3.44
0.07,0.99,0.29,0.29,-1.18,-3.5
0.07,0.99,0.29,0.63,-0.8,-3.11
0.08,0.99,0.3,0.23,-0.49,-2.64
0.07,1.0,0.29,0.3,-0.4,-2.58
0.07,1.0,0.29,0.25,-0.03,-2.1
0.07,0.99,0.29,0.26,0.23,-1.73
0.08,1.0,0.29,-0.3,0.51,-1.19
0.08,1.01,0.29,-0.48,1.21,-1.01
0.08,1.01,0.29,-1.0,1.53,-0.53
0.08,1.0,0.29,-1.5,2.15,-0.16
0.08,1.0,0.29,-1.79,2.48,-0.02
0.07,1.0,0.3,-2.15,2.9,0.02
0.08,1.0,0.3,-2.69,2.77,0.65
0.07,1.01,0.3,-3.05,3.02,0.74
0.07,1.0,0.32,-3.09,2.73,1.02
0.06,0.99,0.32,-3.34,2.16,0.89
0.06,0.99,0.33,-3.08,1.74,1.06
0.07,1.0,0.32,-2.96,0.95,1.03
0.07,0.99,0.32,-2.8,0.64,0.63
0.07,0.99,0.32,-2.27,0.11,0.29
0.07,0.98,0.31,-1.66,-0.05,-0.04
0.06,0.98,0.31,-1.22,0.05,-0.36
0.07,0.98,0.31,-0.46,-0.13,-0.6
0.06,0.98,0.31,0.17,-0.2,-1.02
0.08,0.98,0.3,0.73,0.39,-0.86
0.07,0.98,0.29,1.37,0.79,-1.21
0.07,0.98,0.28,2.35,1.18,-1.09
0.08,0.99,0.29,2.98,1.71,-0.82
0.07,0.99,0.28,3.91,2.22,-0.49
0.07,0.99,0.29,4.15,2.56,-0.22
0.07,0.99,0.29,4.81,3.25,0.0
