accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.04,1.0,0.29,1.57,-11.19,-0.9
0.04,1.0,0.29,2.31,-10.69,-0.82
0.04,0.99,0.3,2.89,-10.49,-0.85
0.04,0.98,0.3,2.91,-10.39,-1.2
0.04,0.98,0.3,3.59,-10.21,-1.33
0.04,0.98,0.29,3.99,-9.84,-1.94
0.04,0.98,0.3,4.47,-9.7,-2.2
0.03,0.98,0.29,5.05,-9.65,-2.76
0.03,0.97,0.3,5.65,-9.4,-3.07
0.03,0.97,0.29,6.16,-9.84,-3.32
0.03,0.97,0.3,7.0,-10.46,-3.98
0.03,0.97,0.3,7.24,-10.76,-4.49
0.03,0.97,0.3,7.44,-11.31,-4.75
0.03,0.98,0.31,7.63,-11.41,-5.19
0.04,0.98,0.3,7.37,-11.82,-5.53
0.03,0.98,0.28,7.65,-11.76,-6.03
0.04,0.99,0.28,7.18,-11.79,-6.16
0.03,0.97,0.3,6.71,-11.79,-6.19
0.03,0.98,0.29,6.73,-11.82,-6.43
0.04,0.98,0.29,6.15,-12.0,-6.37
0.04,0.97,0.29,5.44,-12.31,-6.05
0.04,0.97,0.29,5.03,-12.43,-5.98
0.03,0.98,0.3,4.76,-12.85,-5.79
0.04,0.98,0.29,4.19,-12.64,-5.84
0.04,0.98,0.29,4.24,-12.61,-5.55
0.04,0.98,0.28,3.89,-12.4,-5.42
0.04,0.99,0.29,3.68,-12.16,-5.26
0.03,0.98,0.29,2.98,-12.15,-5.56
0.04,0.99,0.29,2.32,-11.77,-5.53
0.03,0.99,0.29,1.32,-11.47,-5.79
0.04,0.98,0.28,0.32,-11.31,-5.89
0.04,0.99,0.29,0.01,-10.7,-5.69
0.04,0.99,0.28,-0.43,-10.66,-5.67
0.03,0.99,0.29,-0.58,-10.56,-5.76
0.02,0.99,0.29,-0.72,-10.23,-5.64
0.02,0.99,0.28,-0.37,-10.21,-5.95
0.02,0.99,0.29,-0.11,-10.05,-6.07
0.01,0.99,0.3,-0.02,-10.08,-6.35
0.02,0.99,0.3,-0.06,-10.15,-6.47
0.02,0.99,0.29,0.2,-10.18,-6.37
0.03,1.01,0.31,0.05,-10.29,-6.2
0.03,1.01,0.3,-0.03,-10.08,-5.63
0.03,1.01,0.3,-0.54,-9.59,-5.18
0.02,1.01,0.3,-0.75,-9.56,-4.76
0.02,1.02,0.31,-0.88,-9.88,-4.59
0.02,1.01,0.31,-1.3,-10.11,-4.17
0.02,1.02,0.3,-1.52,-10.05,-4.11
0.0,1.0,0.25,-0.63,-9.56,-4.85
0.03,1.03,0.34,-1.21,-10.87,-3.29
0.04,1.02,0.33,-2.26,-11.26,-1.71
0.03,1.01,0.32,-2.8,-11.28,-1.59
0.02,1.01,0.31,-2.57,-11.51,-1.24
0.02,1.01,0.31,-3.06,-11.81,-0.9
0.02,1.01,0.32,-3.26,-12.06,-0.86
0.02,0.99,0.31,-2.95,-11.76,-1.06
0.02,0.99,0.31,-2.56,-12.05,-1.03
0.03,0.99,0.3,-1.92,-12.0,-0.57
0.03,0.99,0.3,-1.29,-12.05,-0.49
0.02,0.99,0.3,-0.63,-11.55,-0.95
0.03,0.99,0.29,-0.02,-11.19,-0.85
0.03,0.99,0.29,0.52,-10.89,-1.41
0.02,0.99,0.29,1.4,-10.67,-1.67
0.03,0.99,0.29,1.31,-10.52,-1.45
0.03,0.98,0.28,1.53,-9.85,-1.66
0.02,0.99,0.29,1.6,-9.96,-1.63
0.02,1.0,0.3,1.76,-10.11,-1.08
0.03,1.01,0.29,1.79,-9.97,-0.76
0.04,1.01,0.29,1.34,-9.56,-0.12
0.04,1.01,0.28,1.08,-8.89,0.24
0.04,1.0,0.28,0.32,-8.88,0.47
0.05,1.0,0.29,-0.06,-8.6,0.79
0.03,1.0,0.3,-0.62,-8.67,0.47
0.02,1.0,0.29,-0.78,-8.79,0.56
0.03,0.99,0.3,-1.28,-8.83,0.41
0.03,0.99,0.3,-1.4,-9.02,0.16
0.04,0.99,0.29,-1.91,-9.01,0.48
0.03,0.99,0.29,-2.22,-9.02,0.15
0.03,1.0,0.3,-2.77,-8.8,0.01
0.02,0.99,0.3,-2.88,-8.79,0.01
0.02,0.99,0.29,-2.81,-8.69,0.18
0.02,1.0,0.3,-2.43,-8.61,0.05
0.03,0.99,0.28,-1.89,-8.44,-0.39
0.03,0.99,0.29,-1.4,-8.25,-0.48
0.03,0.99,0.3,-0.95,-8.15,-0.65
0.03,0.98,0.29,-0.86,-7.95,-0.73
0.04,0.98,0.28,-0.35,-7.44,-1.22
0.03,0.99,0.28,0.44,-7.11,-1.61
0.03,0.99,0.28,0.63,-6.47,-1.79
0.03,0.98,0.27,1.15,-5.9,-1.91
0.04,0.98,0.27,1.85,-5.48,-2.29
0.03,0.97,0.27,2.36,-4.83,-2.41
0.03,0.97,0.27,2.66,-4.38,-2.44
0.04,0.98,0.27,3.21,-3.97,-2.63
0.03,0.99,0.28,3.48,-3.89,-2.71
0.03,0.99,0.29,3.04,-3.82,-2.64
0.03,1.0,0.28,2.44,-3.7,-2.41
0.03,1.01,0.29,1.84,-3.76,-2.05
0.03,1.0,0.3,0.8,-3.59,-1.66
0.03,1.0,0.28,0.11,-3.82,-1.37
0.03,1.0,0.28,-0.47,-3.89,-0.5
0.04,1.0,0.29,-1.14,-3.75,0.09
0.03,1.01,0.29,-1.69,-3.89,0.58
0.02,1.0,0.28,-1.82,-4.15,0.73
0.01,0.99,0.3,-2.46,-4.39,0.52
0.03,0.99,0.29,-3.03,-4.68,0.34
0.03,1.0,0.3,-3.61,-5.06,0.68
0.02,0.99,0.31,-3.93,-5.53,1.02
0.02,0.99,0.3,-3.88,-6.08,1.03
0.02,0.99,0.29,-4.18,-6.45,1.03
0.03,0.99,0.29,-4.11,-6.58,1.05
0.02,0.98,0.3,-4.22,-6.97,0.66
0.02,0.98,0.29,-3.77,-7.43,0.28
0.03,0.98,0.29,-3.16,-7.2,-0.03
0.04,0.99,0.29,-2.46,-7.5,-0.13
0.03,0.98,0.29,-1.99,-7.05,-0.22
0.04,0.98,0.28,-1.42,-6.63,-0.55
0.04,0.99,0.27,-0.59,-5.94,-0.78
0.03,0.99,0.27,-0.21,-5.55,-0.37
0.03,1.0,0.27,0.25,-4.82,-0.46
0.04,1.0,0.28,0.37,-4.14,-0.08
0.03,1.01,0.28,0.16,-3.63,0.3
0.05,1.0,0.27,-0.07,-3.34,0.82
0.03,1.0,0.28,-0.16,-3.14,0.99
0.04,1.0,0.29,-0.18,-2.84,1.31
0.04,0.99,0.28,-0.47,-2.6,1.6
0.04,1.0,0.29,-0.76,-2.46,1.91
0.04,1.0,0.29,-1.02,-2.3,2.37
0.04,1.01,0.29,-1.8,-2.13,3.02
0.05,1.01,0.29,-2.34,-1.92,3.2
0.05,1.0,0.29,-2.66,-1.63,3.24
0.04,0.99,0.27,-3.04,-1.55,3.64
0.03,0.99,0.29,-3.21,-1.95,3.52
0.04,1.0,0.3,-3.56,-1.72,3.56
0.04,0.99,0.29,-3.76,-1.87,2.97
0.05,0.99,0.29,-3.79,-1.21,2.6
0.04,0.98,0.29,-3.26,-0.64,2.27
0.05,0.98,0.29,-2.65,-0.28,1.87
0.04,0.98,0.28,-1.88,0.28,1.58
0.04,0.98,0.28,-1.22,0.39,1.15
0.04,0.98,0.29,-0.51,1.15,0.98
0.05,0.97,0.29,0.09,1.08,0.38
0.05,0.98,0.29,0.74,1.31,-0.02
0.04,0.98,0.29,1.11,1.6,-0.68
0.04,0.97,0.29,1.52,1.63,-1.09
0.04,0.98,0.29,2.13,1.82,-1.58
0.04,0.98,0.29,2.45,1.64,-1.56
0.04,0.99,0.29,3.06,1.47,-1.64
0.04,1.0,0.3,2.79,1.37,-1.34
0.04,1.0,0.3,2.61,1.34,-1.18
0.04,0.99,0.31,2.24,0.86,-0.6
0.05,1.0,0.3,1.56,0.68,-0.3
0.04,1.0,0.31,0.82,0.37,0.11
0.04,1.0,0.3,0.26,-0.05,0.44
0.04,1.0,0.29,0.14,-0.32,0.82
0.04,1.0,0.29,-0.32,-0.73,1.16
0.04,1.0,0.29,-0.47,-0.66,1.23
0.04,1.0,0.3,-0.88,-1.2,1.43
0.04,0.99,0.3,-1.31,-1.58,1.56
0.04,0.98,0.29,-1.6,-1.86,1.4
0.05,0.99,0.3,-1.79,-1.83,1.19
0.05,0.99,0.3,-2.11,-1.71,1.23
0.05,0.98,0.3,-1.81,-1.15,0.63
0.05,0.98,0.29,-1.96,-0.93,0.37
0.04,0.98,0.28,-1.44,-0.56,-0.11
0.04,0.98,0.28,-0.73,-0.13,-0.83
0.04,0.98,0.28,-0.15,0.54,-1.19
0.05,0.98,0.27,0.95,1.37,-1.34
0.05,0.98,0.26,1.86,1.96,-1.55
0.05,0.98,0.28,2.62,2.51,-1.37
0.04,0.99,0.29,2.81,2.66,-1.05
0.03,1.0,0.29,2.95,2.79,-1.17
0.03,1.0,0.3,2.84,2.07,-0.95
0.03,1.0,0.31,2.28,1.62,-0.8
0.03,1.01,0.31,1.24,0.85,-0.53
0.03,1.01,0.31,0.08,0.09,-0.37
0.03,1.01,0.32,-1.04,-1.04,0.35
0.03,1.01,0.31,-1.96,-2.24,0.69
0.04,1.01,0.32,-3.03,-3.11,1.14
0.04,1.01,0.3,-3.87,-4.03,1.33
0.04,1.0,0.31,-4.34,-4.7,1.63
0.04,1.0,0.3,-4.57,-5.12,1.64
0.04,0.99,0.29,-4.52,-4.86,1.56
0.04,0.98,0.28,-4.54,-4.89,1.27
0.05,0.98,0.27,-3.93,-4.73,1.16
0.05,0.97,0.28,-3.17,-4.07,0.67
0.05,0.96,0.27,-2.5,-3.47,0.02
0.06,0.97,0.25,-1.39,-2.59,-0.12
0.05,0.97,0.26,-0.72,-1.54,-0.89
0.05,0.97,0.27,-0.14,-0.75,-1.11
0.05,0.97,0.27,0.6,-0.37,-1.64
0.04,0.98,0.28,1.05,0.3,-2.01
0.04,0.97,0.28,1.39,0.69,-2.31
0.04,0.98,0.28,1.63,0.9,-2.6
0.04,0.99,0.29,1.94,0.75,-2.5
0.03,0.99,0.29,2.05,0.49,-2.13
0.03,1.0,0.31,1.78,-0.15,-2.01
0.03,1.0,0.31,1.06,-0.85,-1.56
0.02,1.0,0.3,0.18,-1.69,-1.69
0.02,1.0,0.3,-0.39,-2.04,-1.53
0.03,1.0,0.3,-1.29,-2.71,-1.53
0.03,1.0,0.29,-2.15,-3.05,-1.34
0.04,1.0,0.29,-2.82,-3.66,-1.23
0.03,1.0,0.29,-3.14,-3.66,-1.27
0.04,1.0,0.28,-3.37,-3.43,-1.15
0.04,1.0,0.27,-3.44,-3.24,-0.93
0.04,1.0,0.27,-3.24,-2.96,-0.84
0.04,1.0,0.27,-3.09,-2.82,-0.78
0.04,0.99,0.27,-2.61,-2.39,-0.47
0.04,0.99,0.28,-2.23,-2.28,-0.32
0.03,0.99,0.28,-2.0,-2.28,-0.19
0.04,0.99,0.29,-1.46,-2.34,0.02
0.04,1.0,0.29,-1.73,-2.18,0.19
0.04,0.99,0.29,-1.73,-2.37,0.15
0.04,0.99,0.29,-2.37,-2.29,0.05
0.04,0.99,0.29,-3.07,-2.47,-0.06
0.04,0.99,0.29,-3.41,-2.74,-0.22
0.04,0.99,0.29,-3.57,-2.73,-0.5
0.04,0.99,0.3,-3.78,-3.0,-0.7
0.04,0.99,0.28,-3.68,-2.71,-0.73
0.03,0.98,0.29,-3.56,-2.89,-0.88
0.03,0.98,0.3,-3.28,-2.95,-1.01
0.03,0.98,0.3,-2.91,-3.48,-1.07
0.03,0.98,0.3,-2.36,-3.92,-1.29
0.03,0.99,0.3,-2.29,-4.09,-1.36
0.04,0.98,0.3,-1.79,-3.96,-1.25
0.04,0.98,0.29,-1.63,-4.11,-1.37
0.03,0.99,0.29,-1.65,-4.09,-1.6
0.03,0.98,0.28,-1.74,-3.89,-2.02
0.04,0.99,0.28,-1.66,-3.82,-2.11
0.04,0.98,0.28,-1.94,-3.33,-2.25
0.05,0.99,0.28,-1.76,-2.96,-2.44
0.05,1.0,0.27,-2.09,-2.17,-2.54
0.05,0.99,0.27,-1.73,-1.92,-2.47
0.04,1.0,0.28,-1.79,-1.67,-2.21
0.04,0.99,0.28,-1.71,-1.63,-2.18
0.04,1.0,0.29,-1.59,-1.77,-1.74
0.03,0.99,0.3,-1.56,-2.46,-1.66
0.03,1.0,0.3,-1.9,-3.11,-1.66
0.03,1.0,0.3,-2.06,-3.51,-1.34
0.04,1.0,0.3,-2.43,-3.69,-1.24
0.04,1.0,0.29,-2.82,-4.11,-1.1
0.04,1.0,0.28,-2.84,-4.31,-0.83
0.04,1.01,0.29,-3.21,-4.33,-0.7
0.04,1.0,0.29,-3.45,-4.1,-0.38
0.04,1.0,0.28,-3.66,-3.85,-0.26
0.04,1.0,0.28,-3.69,-3.68,0.04
0.04,1.0,0.28,-3.49,-3.2,0.15
0.04,1.0,0.28,-3.5,-2.79,0.27
0.04,0.99,0.28,-3.19,-2.82,0.36
0.03,0.98,0.29,-2.63,-2.98,0.66
0.03,0.98,0.3,-2.4,-3.27,0.62
0.03,0.99,0.29,-1.9,-3.7,0.63
0.03,0.99,0.29,-1.84,-3.61,0.5
0.05,1.0,0.28,-1.53,-3.31,0.54
0.04,1.0,0.28,-1.37,-2.9,0.68
0.05,0.99,0.27,-1.45,-2.39,0.89
0.04,0.99,0.27,-1.52,-2.05,0.88
0.05,0.99,0.28,-2.0,-1.74,0.94
0.05,0.99,0.27,-1.95,-1.02,0.67
0.05,0.99,0.28,-2.21,-0.66,0.47
0.05,0.99,0.28,-2.47,-0.37,0.11
0.04,0.99,0.28,-2.6,-0.37,0.24
0.04,0.99,0.29,-2.58,-0.52,0.13
0.03,0.99,0.29,-2.47,-1.22,-0.22
0.03,0.98,0.3,-2.4,-1.47,-0.21
0.03,0.98,0.3,-2.43,-2.0,-0.38
0.03,0.98,0.31,-2.12,-2.65,-0.78
0.03,0.98,0.3,-2.04,-2.83,-1.21
0.04,0.98,0.3,-1.9,-3.29,-1.31
0.04,0.98,0.29,-1.69,-3.4,-1.92
0.04,0.97,0.29,-1.2,-3.67,-2.14
0.04,0.97,0.27,-0.8,-3.14,-2.53
0.04,0.97,0.28,-0.5,-2.56,-2.99
0.03,0.97,0.27,-0.07,-2.02,-3.17
0.04,0.98,0.27,0.34,-1.64,-3.16
