accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.01,0.99,0.35,-1.36,-0.03,-0.2
0.0,0.99,0.35,-1.21,0.03,-0.55
0.0,0.99,0.35,-1.47,-0.24,-0.52
0.0,0.99,0.35,-1.56,-0.09,-0.7
0.01,0.99,0.34,-1.47,-0.37,-0.55
0.0,0.99,0.34,-1.28,-0.49,-0.76
0.0,0.99,0.34,-1.39,-0.52,-0.78
0.0,0.99,0.34,-1.44,-0.56,-0.93
0.0,0.99,0.34,-1.45,-0.72,-0.98
0.01,0.99,0.34,-1.51,-0.85,-1.07
0.0,0.98,0.35,-1.69,-1.07,-0.87
-0.0,0.99,0.34,-1.63,-0.99,-0.99
-0.0,0.99,0.35,-1.82,-1.05,-1.16
0.0,0.99,0.35,-2.0,-1.02,-1.04
0.0,0.98,0.35,-2.17,-0.98,-1.22
-0.0,0.99,0.36,-2.37,-0.9,-1.16
0.0,0.99,0.35,-2.14,-0.96,-1.24
0.01,0.99,0.34,-2.4,-1.15,-1.13
0.01,0.99,0.35,-2.4,-0.98,-1.45
0.0,0.99,0.34,-2.4,-0.96,-1.34
0.0,0.99,0.35,-2.5,-1.19,-1.47
0.0,0.99,0.34,-2.31,-1.19,-1.51
-0.0,0.99,0.35,-2.58,-1.19,-1.54
0.0,0.99,0.36,-2.52,-1.34,-1.28
0.0,0.98,0.35,-2.38,-1.39,-1.42
0.0,0.99,0.35,-2.35,-1.6,-1.34
-0.0,0.99,0.35,-2.02,-1.68,-1.27
0.0,0.99,0.35,-1.85,-1.66,-1.02
-0.0,0.98,0.35,-1.89,-1.53,-1.16
0.0,0.99,0.36,-1.85,-1.53,-1.34
0.0,0.98,0.35,-1.76,-1.33,-1.16
0.0,1.0,0.35,-1.65,-1.33,-0.89
0.0,0.99,0.37,-1.77,-1.18,-1.01
0.0,0.99,0.36,-1.8,-1.1,-1.01
0.0,0.98,0.36,-1.71,-1.05,-0.95
-0.0,0.99,0.36,-1.97,-0.95,-1.04
0.0,0.99,0.36,-1.74,-0.9,-1.05
0.0,0.99,0.36,-1.76,-0.79,-0.87
0.0,0.98,0.35,-1.89,-0.82,-0.99
0.0,0.99,0.35,-1.59,-0.66,-0.81
0.01,0.99,0.36,-1.62,-0.44,-0.56
-0.01,0.99,0.36,-1.36,-0.35,-0.67
