accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-0.1,0.97,0.4,-4.64,-4.37,-1.51
-0.1,0.97,0.41,-4.72,-5.01,-1.59
-0.1,0.97,0.41,-4.58,-5.69,-1.63
-0.1,0.97,0.39,-4.24,-6.31,-1.79
-0.1,0.97,0.4,-3.69,-6.85,-2.15
-0.09,0.97,0.39,-3.37,-7.01,-2.56
-0.09,0.97,0.4,-2.72,-6.79,-2.69
-0.09,0.97,0.4,-2.23,-7.1,-2.61
-0.1,0.97,0.41,-1.68,-7.33,-2.9
-0.09,0.97,0.4,-0.78,-7.54,-3.08
-0.08,0.97,0.39,0.08,-7.88,-3.11
-0.09,0.97,0.39,1.04,-7.98,-3.08
-0.09,0.97,0.39,2.08,-8.06,-2.81
-0.09,0.97,0.39,3.08,-8.35,-2.31
-0.09,0.97,0.38,4.29,-8.58,-1.74
-0.1,0.96,0.38,5.65,-8.81,-0.78
-0.1,0.95,0.37,6.69,-9.05,0.2
-0.09,0.95,0.36,8.23,-9.33,1.54
-0.09,0.95,0.36,9.85,-9.88,2.89
-0.09,0.94,0.35,11.39,-10.02,4.24
-0.09,0.93,0.33,13.05,-9.98,5.51
-0.1,0.93,0.34,14.27,-10.35,6.56
-0.11,0.93,0.32,15.8,-10.21,7.56
-0.12,0.93,0.33,16.95,-10.55,7.85
-0.13,0.91,0.33,18.49,-10.27,7.88
-0.15,0.91,0.31,20.03,-10.18,6.9
-0.16,0.91,0.31,20.7,-10.02,5.53
-0.17,0.91,0.31,20.58,-10.6,4.72
-0.19,0.91,0.31,19.31,-11.86,4.03
-0.21,0.91,0.32,17.71,-13.82,3.05
-0.22,0.9,0.33,15.47,-16.14,1.98
-0.23,0.9,0.33,13.25,-18.27,1.27
-0.23,0.91,0.33,11.02,-20.89,1.31
-0.23,0.91,0.33,8.81,-23.21,2.06
-0.23,0.92,0.33,7.08,-24.82,3.05
-0.24,0.92,0.33,5.85,-25.92,4.31
-0.24,0.91,0.32,5.54,-26.18,5.27
-0.24,0.91,0.33,5.53,-25.86,6.49
-0.23,0.91,0.33,6.35,-24.75,7.56
-0.23,0.91,0.33,7.13,-22.67,8.37
-0.23,0.92,0.34,8.0,-20.26,9.5
-0.23,0.92,0.34,8.55,-17.92,10.79
-0.24,0.93,0.36,9.05,-15.53,11.69
-0.25,0.93,0.36,9.44,-13.3,12.34
-0.25,0.92,0.38,9.59,-11.34,13.3
-0.25,0.94,0.4,9.82,-9.59,14.43
-0.25,0.94,0.41,9.86,-7.36,15.54
-0.26,0.95,0.41,10.29,-5.65,16.44
-0.27,0.96,0.41,10.11,-3.57,17.31
-0.28,0.97,0.41,9.65,-1.68,18.05
-0.29,0.97,0.42,9.24,-0.06,18.38
-0.31,0.97,0.43,8.95,1.42,18.08
-0.31,0.98,0.44,8.82,2.55,17.25
-0.32,0.98,0.43,8.78,3.86,16.11
-0.32,0.98,0.44,8.69,5.65,15.36
-0.31,0.98,0.43,8.18,7.19,14.32
-0.3,0.98,0.44,8.17,8.72,13.37
-0.29,0.97,0.44,7.91,9.97,12.47
-0.3,0.96,0.43,7.56,9.98,11.33
-0.31,0.95,0.43,7.48,8.69,9.85
-0.31,0.95,0.44,7.53,5.89,8.03
-0.32,0.95,0.43,7.82,2.4,5.98
-0.34,0.94,0.44,8.03,-2.82,4.23
-0.33,0.94,0.43,9.37,-8.93,3.13
-0.32,0.93,0.42,10.06,-13.91,2.41
-0.3,0.93,0.42,11.05,-17.8,2.35
-0.27,0.92,0.43,12.08,-20.27,3.33
-0.24,0.92,0.43,12.55,-21.13,5.1
-0.2,0.92,0.44,12.84,-21.56,8.0
-0.18,0.93,0.44,13.24,-20.12,11.8
-0.16,0.93,0.46,13.65,-17.95,15.02
-0.15,0.94,0.44,15.07,-14.52,18.24
-0.14,0.94,0.41,16.72,-7.04,20.99
-0.12,0.94,0.4,19.39,-1.85,22.87
-0.09,0.98,0.38,25.42,3.97,25.73
-0.1,1.01,0.4,25.69,7.94,27.13
-0.15,0.97,0.34,36.32,5.59,26.24
-0.1,1.04,0.38,37.59,6.31,27.74
-0.11,1.04,0.4,35.57,8.87,27.82
-0.14,1.05,0.49,30.55,10.18,26.53
-0.19,1.05,0.6,24.76,3.97,24.34
-0.21,1.06,0.6,20.17,-0.99,20.89
-0.23,1.07,0.6,-10.52,25.34,17.53
-0.28,1.19,1.33,-37.07,9.3,14.64
-0.18,1.08,0.73,-42.61,13.89,9.01
-0.14,1.1,0.64,-48.34,21.85,5.15
-0.12,1.03,0.45,-49.76,29.76,2.26
-0.14,1.0,0.43,-46.23,31.94,-0.18
-0.14,0.97,0.38,-41.54,35.08,-2.7
-0.1,0.99,0.35,-34.69,35.39,-3.68
-0.03,1.02,0.32,-27.71,34.47,-2.44
-0.02,1.02,0.31,-20.58,33.86,-0.06
-0.06,0.98,0.26,-10.4,30.43,2.89
-0.08,0.98,0.33,-1.56,27.77,5.65
-0.09,0.95,0.29,6.32,26.7,7.51
-0.09,0.97,0.31,12.96,26.87,10.31
-0.09,0.97,0.33,16.37,26.12,12.63
-0.11,0.96,0.35,19.28,23.89,14.41
-0.11,0.95,0.38,20.37,21.18,15.56
-0.11,0.95,0.37,20.44,18.55,15.86
-0.09,0.97,0.39,18.43,17.37,15.97
0.01,0.89,0.28,4.81,30.2,21.76
0.04,0.97,0.4,1.62,28.08,25.63
0.04,0.98,0.46,-4.7,27.88,28.29
-0.04,0.9,0.35,-6.11,30.03,26.38
-0.14,0.86,0.31,-4.46,32.5,21.04
-0.15,0.88,0.32,-2.2,33.27,16.31
-0.11,0.88,0.35,-0.64,30.63,13.22
-0.08,0.89,0.34,1.97,26.58,12.09
-0.01,0.93,0.33,5.37,21.24,15.51
0.2,1.01,0.32,7.86,15.1,25.24
0.59,1.17,0.44,10.58,2.49,46.64
0.9,1.31,0.39,15.34,-6.99,72.76
1.06,1.34,0.26,17.18,-2.73,95.63
0.87,1.29,0.22,23.95,1.45,105.56
0.51,1.1,0.13,29.77,13.37,104.05
0.21,0.94,0.18,34.32,20.6,94.55
-0.11,1.02,0.17,42.93,15.51,75.37
0.02,1.16,0.21,46.23,16.81,63.13
0.17,1.24,0.26,48.11,18.29,55.71
0.14,1.26,0.26,51.1,17.11,46.9
0.21,1.19,0.24,50.12,16.56,39.51
0.13,1.16,0.32,48.63,6.98,29.37
0.14,1.17,0.13,48.6,4.2,21.5
0.17,1.16,0.18,47.6,3.02,15.98
0.23,1.11,0.26,44.43,2.87,13.3
0.27,1.07,0.27,41.47,5.3,12.89
0.26,0.98,0.34,36.72,3.04,12.66
0.18,0.97,0.42,29.42,-3.91,9.24
0.18,0.98,0.43,21.53,-6.37,8.89
0.26,0.99,0.42,13.4,-3.3,10.79
0.33,0.97,0.45,4.64,1.22,14.72
0.3,0.93,0.47,-2.67,4.21,15.48
0.29,0.84,0.48,-8.92,8.72,17.65
0.33,0.85,0.53,-17.51,13.28,20.38
0.22,0.8,0.53,-24.67,14.63,18.98
0.22,0.75,0.58,-36.11,21.11,17.62
0.24,0.77,0.61,-46.82,23.19,17.39
0.14,0.77,0.55,-56.41,23.02,16.43
0.18,0.82,0.59,-66.56,18.66,19.31
0.22,0.9,0.6,-80.15,15.68,25.4
0.19,0.86,0.66,-95.48,12.58,29.91
0.2,0.87,0.67,-110.99,5.16,36.72
0.22,0.89,0.72,-125.95,-4.29,43.74
0.13,0.82,0.66,-138.66,-16.96,47.74
0.15,0.81,0.68,-152.92,-27.92,54.38
0.1,0.8,0.66,-164.47,-40.99,58.35
-0.01,0.83,0.61,-172.76,-54.11,54.44
-0.09,0.93,0.49,-172.46,-69.8,40.44
-0.08,1.42,0.22,-159.3,-73.42,29.68
-0.15,1.75,-0.1,-134.34,-56.47,4.05
0.3,2.03,-0.34,-102.21,-18.85,-10.27
0.58,1.94,-0.39,-72.85,13.8,-15.02
0.76,1.53,0.02,-61.6,25.1,-7.48
0.68,0.94,0.29,-59.13,26.05,-3.47
0.46,0.71,0.29,-60.38,24.06,-9.42
0.32,0.69,0.19,-58.56,24.92,-16.23
0.27,0.8,0.33,-57.16,22.49,-16.81
0.23,0.89,0.43,-57.5,19.56,-14.85
0.2,0.97,0.59,-61.65,17.56,-13.16
0.17,0.96,0.4,-65.27,23.15,-13.42
0.1,0.88,0.41,-69.08,23.19,-15.73
0.08,0.82,0.51,-70.92,12.67,-18.73
0.1,0.88,0.55,-71.82,3.15,-20.03
0.14,0.94,0.5,-71.01,-0.76,-19.19
