accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.02,0.99,0.34,-2.98,-0.53,-0.41
0.02,0.99,0.35,-2.92,-0.96,-0.49
0.02,0.99,0.35,-3.16,-1.07,-0.41
0.02,0.98,0.35,-3.21,-0.87,-0.46
0.02,0.98,0.35,-3.01,-1.05,-0.55
0.03,0.99,0.34,-2.5,-0.64,-0.64
0.02,0.98,0.34,-2.35,-0.78,-0.63
0.02,0.98,0.34,-2.17,-0.6,-0.7
0.02,0.98,0.34,-1.76,-0.67,-0.73
0.02,0.98,0.35,-1.68,-0.81,-0.52
0.02,0.99,0.35,-1.42,-0.96,-0.66
0.01,0.98,0.35,-1.59,-1.47,-0.7
0.01,0.97,0.36,-1.69,-1.53,-0.87
0.02,0.98,0.35,-2.02,-1.77,-1.01
0.01,0.98,0.35,-2.17,-2.06,-1.13
0.02,0.99,0.35,-2.26,-2.03,-1.01
0.02,0.99,0.35,-2.35,-2.03,-1.07
0.02,0.98,0.34,-2.44,-2.15,-0.99
0.02,0.99,0.34,-2.41,-2.06,-0.98
0.03,0.99,0.34,-2.35,-1.69,-1.02
0.03,0.99,0.33,-1.94,-1.33,-0.99
0.03,0.99,0.34,-1.53,-1.16,-1.05
0.02,0.98,0.33,-1.3,-0.85,-0.98
0.02,0.99,0.34,-1.15,-0.37,-1.07
0.03,0.99,0.33,-0.9,-0.37,-1.04
0.02,0.99,0.34,-0.73,-0.12,-1.22
0.01,1.0,0.34,-0.73,0.0,-0.87
0.02,1.0,0.34,-0.9,-0.41,-0.93
0.02,1.0,0.34,-1.24,-0.24,-0.84
0.01,1.0,0.35,-1.57,-0.85,-0.95
0.01,0.99,0.35,-1.74,-1.11,-0.93
0.01,1.0,0.35,-1.91,-1.76,-0.9
0.01,1.0,0.35,-2.06,-2.23,-0.89
0.01,1.0,0.35,-2.26,-2.75,-0.87
0.01,1.0,0.34,-2.63,-2.82,-0.75
0.02,1.0,0.35,-2.76,-3.3,-0.69
0.02,1.0,0.34,-2.99,-3.27,-0.53
0.02,0.99,0.34,-2.92,-3.21,-0.49
0.02,0.99,0.33,-2.84,-3.01,-0.52
0.02,0.99,0.33,-2.85,-2.7,-0.52
0.02,0.99,0.34,-2.7,-2.67,-0.6
0.03,1.0,0.33,-2.79,-2.12,-0.58
0.03,0.98,0.33,-2.69,-1.66,-0.61
0.02,0.98,0.33,-2.61,-1.36,-0.72
0.03,0.99,0.33,-2.52,-0.43,-0.63
0.03,0.99,0.33,-2.17,-0.09,-0.6
0.02,0.98,0.33,-1.83,0.24,-0.63
0.02,0.98,0.33,-1.51,0.43,-0.76
0.02,0.98,0.34,-0.99,0.47,-0.89
0.02,0.98,0.33,-1.08,0.44,-0.93
0.02,0.98,0.35,-1.11,0.29,-0.81
0.02,0.99,0.35,-1.25,0.34,-0.92
0.01,0.99,0.34,-1.44,-0.18,-0.96
0.01,0.99,0.35,-1.8,-0.64,-0.84
0.01,0.99,0.34,-2.17,-0.85,-0.96
0.02,0.99,0.35,-2.35,-1.34,-1.01
0.01,0.99,0.35,-2.75,-1.68,-1.04
0.01,0.99,0.34,-2.96,-1.6,-1.1
0.02,0.99,0.35,-2.89,-1.91,-0.87
0.02,0.99,0.34,-3.13,-1.95,-0.61
0.02,0.99,0.34,-3.3,-1.88,-0.79
0.02,0.99,0.33,-3.31,-1.76,-0.47
0.02,0.98,0.34,-3.16,-1.53,-0.81
0.02,0.98,0.34,-3.15,-1.53,-0.89
0.02,0.98,0.34,-2.98,-1.5,-0.89
0.02,0.98,0.34,-3.11,-1.45,-0.96
0.02,0.98,0.34,-2.87,-1.65,-1.15
0.02,0.98,0.36,-2.87,-1.62,-1.11
0.02,0.97,0.34,-2.84,-1.24,-1.22
0.02,0.97,0.34,-2.61,-1.44,-1.33
0.02,0.98,0.35,-2.44,-1.21,-1.34
0.02,0.97,0.34,-2.26,-1.25,-1.68
0.01,0.97,0.35,-1.98,-1.34,-1.85
0.02,0.97,0.34,-1.82,-1.36,-1.95
0.02,0.98,0.34,-1.79,-1.22,-2.08
0.02,0.98,0.34,-1.79,-1.05,-2.5
0.03,0.98,0.33,-2.03,-1.07,-2.38
0.03,0.99,0.34,-2.41,-0.92,-2.38
0.02,0.98,0.33,-2.69,-0.67,-2.24
0.03,0.99,0.33,-3.1,-0.61,-2.14
0.03,0.99,0.32,-3.65,-0.15,-2.09
0.03,0.99,0.33,-3.13,0.31,-2.08
0.04,0.98,0.33,-2.67,0.78,-1.88
0.03,0.98,0.33,-2.17,1.02,-1.94
0.03,0.98,0.33,-1.94,1.07,-1.98
0.03,0.98,0.34,-2.17,1.07,-2.26
